"","task","b","se","t","roi","hemi","community","parcel","r","control","conjunc"
"138","Cuedts",-0.00412468466717785,0.0319579623758994,-0.129065946653983,"LH_Default_pCunPCC_4","LH","Default","pCunPCC_4",0.135377090393681,FALSE,FALSE
"139","Stern",0.189389125788464,0.0319579623758994,5.92619527993715,"LH_Default_pCunPCC_4","LH","Default","pCunPCC_4",0.135377090393681,FALSE,FALSE
"140","Stroop",-0.00368520651984901,0.0319579623758994,-0.115314189199627,"LH_Default_pCunPCC_4","LH","Default","pCunPCC_4",0.135377090393681,FALSE,FALSE
"141","Axcpt",0.00680140143180914,0.0292491203642126,0.232533537662586,"LH_Default_pCunPCC_5","LH","Default","pCunPCC_5",0.072609268836832,FALSE,FALSE
"142","Cuedts",-0.00228487375270483,0.0292491203642126,-0.0781176912075779,"LH_Default_pCunPCC_5","LH","Default","pCunPCC_5",0.072609268836832,FALSE,FALSE
"143","Stern",0.119808891289959,0.0292491203642126,4.09615365515573,"LH_Default_pCunPCC_5","LH","Default","pCunPCC_5",0.072609268836832,FALSE,FALSE
"144","Stroop",-0.048780389621152,0.0292491203642126,-1.66775578252386,"LH_Default_pCunPCC_5","LH","Default","pCunPCC_5",0.072609268836832,FALSE,FALSE
"145","Axcpt",-0.0279543500870344,0.0290280487454857,-0.96301168335959,"LH_Default_pCunPCC_6","LH","Default","pCunPCC_6",0.0782905644269297,FALSE,FALSE
"146","Cuedts",0.0124424508851673,0.0290280487454857,0.428635455116572,"LH_Default_pCunPCC_6","LH","Default","pCunPCC_6",0.0782905644269297,FALSE,FALSE
"147","Stern",-0.00594273713402313,0.0290280487454857,-0.204723961507999,"LH_Default_pCunPCC_6","LH","Default","pCunPCC_6",0.0782905644269297,FALSE,FALSE
"148","Stroop",-0.0604093379750429,0.0290280487454857,-2.08106781495044,"LH_Default_pCunPCC_6","LH","Default","pCunPCC_6",0.0782905644269297,FALSE,FALSE
"149","Axcpt",-0.00561185983358202,0.0305533607015313,-0.183674060880012,"LH_Default_pCunPCC_7","LH","Default","pCunPCC_7",0.0673454034333043,FALSE,FALSE
"150","Cuedts",-0.0205443344693287,0.0305533607015313,-0.672408337335508,"LH_Default_pCunPCC_7","LH","Default","pCunPCC_7",0.0673454034333043,FALSE,FALSE
"151","Stern",0.0280505775280997,0.0305533607015313,0.918084848410599,"LH_Default_pCunPCC_7","LH","Default","pCunPCC_7",0.0673454034333043,FALSE,FALSE
"152","Stroop",-0.0455482343634743,0.0305533607015313,-1.49077657310515,"LH_Default_pCunPCC_7","LH","Default","pCunPCC_7",0.0673454034333043,FALSE,FALSE
"153","Axcpt",-0.0095589574564622,0.024495410409404,-0.390234631577858,"LH_Default_pCunPCC_8","LH","Default","pCunPCC_8",0.16804041290213,FALSE,FALSE
"154","Cuedts",-0.0141828633782651,0.024495410409404,-0.579000847147276,"LH_Default_pCunPCC_8","LH","Default","pCunPCC_8",0.16804041290213,FALSE,FALSE
"155","Stern",0.0547328910443719,0.024495410409404,2.23441412614011,"LH_Default_pCunPCC_8","LH","Default","pCunPCC_8",0.16804041290213,FALSE,FALSE
"156","Stroop",-0.0373949213085668,0.024495410409404,-1.52660929878564,"LH_Default_pCunPCC_8","LH","Default","pCunPCC_8",0.16804041290213,FALSE,FALSE
"157","Axcpt",-0.00779683120325577,0.0223560118807756,-0.348757696356408,"LH_Default_pCunPCC_9","LH","Default","pCunPCC_9",0.0839506347533035,FALSE,FALSE
"158","Cuedts",0.000539745141532304,0.0223560118807756,0.0241431765384077,"LH_Default_pCunPCC_9","LH","Default","pCunPCC_9",0.0839506347533035,FALSE,FALSE
"159","Stern",0.0239744257303113,0.0223560118807756,1.07239277998986,"LH_Default_pCunPCC_9","LH","Default","pCunPCC_9",0.0839506347533035,FALSE,FALSE
"160","Stroop",-0.0143983131089557,0.0223560118807756,-0.644046585130739,"LH_Default_pCunPCC_9","LH","Default","pCunPCC_9",0.0839506347533035,FALSE,FALSE
"161","Axcpt",0.00177293796920801,0.0226138133817225,0.0784006633149709,"LH_Default_PFC_1","LH","Default","PFC_1",-0.0354202484299201,FALSE,FALSE
"162","Cuedts",0.00762053175680326,0.0226138133817225,0.336985701091993,"LH_Default_PFC_1","LH","Default","PFC_1",-0.0354202484299201,FALSE,FALSE
"163","Stern",0.053309061534513,0.0226138133817225,2.35736718237888,"LH_Default_PFC_1","LH","Default","PFC_1",-0.0354202484299201,FALSE,FALSE
"164","Stroop",-0.0123791490126628,0.0226138133817225,-0.547415369699131,"LH_Default_PFC_1","LH","Default","PFC_1",-0.0354202484299201,FALSE,FALSE
"165","Axcpt",0.0630484864985783,0.0239539028143064,2.63207574094868,"LH_Default_PFC_10","LH","Default","PFC_10",0.040615721317004,FALSE,FALSE
"166","Cuedts",-0.00947274871755237,0.0239539028143064,-0.395457424662122,"LH_Default_PFC_10","LH","Default","PFC_10",0.040615721317004,FALSE,FALSE
"167","Stern",0.0642515283963729,0.0239539028143064,2.6822989512172,"LH_Default_PFC_10","LH","Default","PFC_10",0.040615721317004,FALSE,FALSE
"168","Stroop",-0.00514114066992691,0.0239539028143064,-0.214626431015508,"LH_Default_PFC_10","LH","Default","PFC_10",0.040615721317004,FALSE,FALSE
"169","Axcpt",-0.0291801217675877,0.0262868242914836,-1.1100664516954,"LH_Default_PFC_11","LH","Default","PFC_11",0.0106126318619509,FALSE,FALSE
"170","Cuedts",0.00172919353315701,0.0262868242914836,0.065781758723789,"LH_Default_PFC_11","LH","Default","PFC_11",0.0106126318619509,FALSE,FALSE
"171","Stern",-0.0266704549608586,0.0262868242914836,-1.01459402874691,"LH_Default_PFC_11","LH","Default","PFC_11",0.0106126318619509,FALSE,FALSE
"172","Stroop",-0.0390686031078147,0.0262868242914836,-1.48624279124018,"LH_Default_PFC_11","LH","Default","PFC_11",0.0106126318619509,FALSE,FALSE
"173","Axcpt",0.0265964823786507,0.018723556551214,1.42048239104051,"LH_Default_PFC_12","LH","Default","PFC_12",0.0165580640672794,FALSE,FALSE
"174","Cuedts",-0.00806592420108086,0.018723556551214,-0.430790174880417,"LH_Default_PFC_12","LH","Default","PFC_12",0.0165580640672794,FALSE,FALSE
"175","Stern",0.0548016904846311,0.018723556551214,2.92688466182873,"LH_Default_PFC_12","LH","Default","PFC_12",0.0165580640672794,FALSE,FALSE
"176","Stroop",-0.0498727912949314,0.018723556551214,-2.66363877816246,"LH_Default_PFC_12","LH","Default","PFC_12",0.0165580640672794,FALSE,FALSE
"177","Axcpt",0.0110662706206123,0.0208887429999685,0.529771974341827,"LH_Default_PFC_13","LH","Default","PFC_13",0.0307530487732977,FALSE,FALSE
"178","Cuedts",-0.0252353143884995,0.0208887429999685,-1.20808199844948,"LH_Default_PFC_13","LH","Default","PFC_13",0.0307530487732977,FALSE,FALSE
"179","Stern",0.0196167668551821,0.0208887429999685,0.93910709970493,"LH_Default_PFC_13","LH","Default","PFC_13",0.0307530487732977,FALSE,FALSE
"180","Stroop",-0.00514674825938699,0.0208887429999685,-0.246388605546765,"LH_Default_PFC_13","LH","Default","PFC_13",0.0307530487732977,FALSE,FALSE
"181","Axcpt",-0.0422227072688673,0.0232399608938852,-1.81681490178311,"LH_Default_PFC_14","LH","Default","PFC_14",0.00629682823809086,FALSE,FALSE
"182","Cuedts",-0.0215486458939782,0.0232399608938852,-0.927223844840807,"LH_Default_PFC_14","LH","Default","PFC_14",0.00629682823809086,FALSE,FALSE
"183","Stern",-0.0582797164015331,0.0232399608938852,-2.5077372835368,"LH_Default_PFC_14","LH","Default","PFC_14",0.00629682823809086,FALSE,FALSE
"184","Stroop",-0.00963888688159472,0.0232399608938852,-0.41475486665431,"LH_Default_PFC_14","LH","Default","PFC_14",0.00629682823809086,FALSE,FALSE
"185","Axcpt",0.0174815439552618,0.0215863886267727,0.809841065011686,"LH_Default_PFC_15","LH","Default","PFC_15",0.0623079408428316,FALSE,FALSE
"186","Cuedts",-0.0179612342684326,0.0215863886267727,-0.832062953140574,"LH_Default_PFC_15","LH","Default","PFC_15",0.0623079408428316,FALSE,FALSE
