"task","b","se","t","roi","hemi","community","parcel","r.spearman","r.pearson","p","lb","ub","icc","control","conjunc"
"Axcpt",0.0623225944520458,0.0288753176509842,2.15833450579968,"RH_Default_pCunPCC_5","RH","Default","pCunPCC_5",0.0500751138499562,0.0922183294076281,0.492566377865348,-0.248496559177234,0.25391651380939,0.00289250977802675,FALSE,FALSE
"Cuedts",0.0326882202929893,0.0288753176509842,1.13204712370931,"RH_Default_pCunPCC_5","RH","Default","pCunPCC_5",0.0500751138499562,0.0922183294076281,0.826112082630466,-0.382257666029577,0.110253574742657,-0.144970115362634,FALSE,FALSE
"Stern",0.0600809374597823,0.0288753176509842,2.0807022172355,"RH_Default_pCunPCC_5","RH","Default","pCunPCC_5",0.0500751138499562,0.0922183294076281,0.218077832389119,-0.134855922853718,0.360727642124215,0.120432468054951,FALSE,FALSE
"Stroop",-0.0444144354271197,0.0288753176509842,-1.53814534489132,"RH_Default_pCunPCC_5","RH","Default","pCunPCC_5",0.0500751138499562,0.0922183294076281,0.262003778636072,-0.156421381509416,0.341410624552328,0.0986640676293591,FALSE,FALSE
"Axcpt",0.0277397520417693,0.0263061783592391,1.0544957029848,"RH_Default_pCunPCC_6","RH","Default","pCunPCC_6",0.096374489119694,0.223355331584881,0.159232889731531,-0.101192640062014,0.39005459218222,0.15392880535434,FALSE,FALSE
"Cuedts",0.000699416154926217,0.0263061783592391,0.0265875242452529,"RH_Default_pCunPCC_6","RH","Default","pCunPCC_6",0.096374489119694,0.223355331584881,0.546637748107553,-0.268169665992957,0.234091657992336,-0.0181863083265824,FALSE,FALSE
"Stern",0.1009270691589,0.0263061783592391,3.83662985100432,"RH_Default_pCunPCC_6","RH","Default","pCunPCC_6",0.096374489119694,0.223355331584881,0.0642998660697021,-0.019724741528442,0.457130180690923,0.232636483185222,FALSE,FALSE
"Stroop",-0.029614715306733,0.0263061783592391,-1.12577033814309,"RH_Default_pCunPCC_6","RH","Default","pCunPCC_6",0.096374489119694,0.223355331584881,0.0410061780781819,0.0148840656070927,0.484072694402104,0.265101356233184,FALSE,FALSE
"Axcpt",0.0069626372024043,0.0236228619196543,0.294741476544438,"RH_Default_pCunPCC_7","RH","Default","pCunPCC_7",0.00489596083231334,0.0249124172888909,0.951813378321327,-0.474777094829732,-0.00281508163495265,-0.253844075723139,FALSE,FALSE
"Cuedts",0.0131317411198452,0.0236228619196543,0.555891202535436,"RH_Default_pCunPCC_7","RH","Default","pCunPCC_7",0.00489596083231334,0.0249124172888909,0.993075746439628,-0.567189764047146,-0.129238539127264,-0.368483912279216,FALSE,FALSE
"Stern",0.0424884887111818,0.0236228619196543,1.79861732484797,"RH_Default_pCunPCC_7","RH","Default","pCunPCC_7",0.00489596083231334,0.0249124172888909,0.175113999791866,-0.110988014862761,0.381622593411452,0.144242124676207,FALSE,FALSE
"Stroop",-0.0188710672587507,0.0236228619196543,-0.798847630017678,"RH_Default_pCunPCC_7","RH","Default","pCunPCC_7",0.00489596083231334,0.0249124172888909,0.00497734110503908,0.147610542902661,0.579760233526729,0.38455919965569,FALSE,FALSE
"Axcpt",0.0156296386022694,0.0279257305732065,0.559685934135072,"RH_Default_pCunPCC_8","RH","Default","pCunPCC_8",0.0509170493110043,0.0681171266794284,0.0554625278794204,-0.00801009350236491,0.466348931151536,0.243688763534762,FALSE,FALSE
"Cuedts",-0.00511169922231449,0.0279257305732065,-0.183046212843539,"RH_Default_pCunPCC_8","RH","Default","pCunPCC_8",0.0509170493110043,0.0681171266794284,0.78621512349593,-0.362712247310849,0.132613396912273,-0.122682092496935,FALSE,FALSE
"Stern",0.0701959850121589,0.0279257305732065,2.5136669147524,"RH_Default_pCunPCC_8","RH","Default","pCunPCC_8",0.0509170493110043,0.0681171266794284,0.5066733390847,-0.253639703111534,0.248774134329999,-0.00259664659093561,FALSE,FALSE
"Stroop",-0.0467172392561985,0.0279257305732065,-1.67291019061186,"RH_Default_pCunPCC_8","RH","Default","pCunPCC_8",0.0509170493110043,0.0681171266794284,0.177675135089349,-0.112511210826728,0.380303996998931,0.142731423368319,FALSE,FALSE
"Axcpt",0.0469657129726966,0.0219750588577538,2.13722808556323,"RH_Default_pCunPCC_9","RH","Default","pCunPCC_9",0.181303844366933,0.201382977066309,0.0382849136050766,0.0199127693163936,0.487914826209707,0.269771807025457,FALSE,FALSE
"Cuedts",-7.14929373913774e-05,0.0219750588577538,-0.00325336727670021,"RH_Default_pCunPCC_9","RH","Default","pCunPCC_9",0.181303844366933,0.201382977066309,0.0663203196427865,-0.0222219504660224,0.455151682742733,0.230272012509204,FALSE,FALSE
"Stern",0.066999056283886,0.0219750588577538,3.0488681153291,"RH_Default_pCunPCC_9","RH","Default","pCunPCC_9",0.181303844366933,0.201382977066309,0.219452342220145,-0.135568179738272,0.360096363930772,0.119717407533035,FALSE,FALSE
"Stroop",-0.0488160403786056,0.0219750588577538,-2.22142933471056,"RH_Default_pCunPCC_9","RH","Default","pCunPCC_9",0.181303844366933,0.201382977066309,0.0733525339487986,-0.0304723917983083,0.448581305771708,0.222438866445741,FALSE,FALSE
"Axcpt",-0.163955917338698,0.0536051785953324,-3.05858354798905,"RH_Default_PFCdPFCm_1","RH","Default","PFCdPFCm_1",0.0973107590861816,0.067587169695803,0.211436334479809,-0.131374771156748,0.36380649162491,0.123923515318385,FALSE,FALSE
"Cuedts",-0.0615857266017516,0.0536051785953324,-1.14887643723127,"RH_Default_PFCdPFCm_1","RH","Default","PFCdPFCm_1",0.0973107590861816,0.067587169695803,0.506902976170034,-0.253723314842272,0.248690300390934,-0.00268600856645254,FALSE,FALSE
"Stern",-0.193512831790108,0.0536051785953324,-3.60996524703227,"RH_Default_PFCdPFCm_1","RH","Default","PFCdPFCm_1",0.0973107590861816,0.067587169695803,0.430244379975071,-0.225477534943497,0.276589261529641,0.027275930517961,FALSE,FALSE
"Stroop",-0.0999822402766302,0.0536051785953324,-1.8651601001351,"RH_Default_PFCdPFCm_1","RH","Default","PFCdPFCm_1",0.0973107590861816,0.067587169695803,0.39817766795597,-0.213312008068574,0.288350198622779,0.0400421899708492,FALSE,FALSE
"Axcpt",0.007968567823018,0.0208341702272369,0.38247589110127,"RH_Default_PFCdPFCm_10","RH","Default","PFCdPFCm_10",0.224487822594529,0.262025044036377,0.0432988281988434,0.0108552726586115,0.480981425755882,0.261351090371936,FALSE,FALSE
"Cuedts",-0.00541549822385572,0.0208341702272369,-0.259933472981609,"RH_Default_PFCdPFCm_10","RH","Default","PFCdPFCm_10",0.224487822594529,0.262025044036377,0.509623369290599,-0.254713603283519,0.247696807250708,-0.00374470733950477,FALSE,FALSE
"Stern",0.0217830718920564,0.0208341702272369,1.04554545030927,"RH_Default_PFCdPFCm_10","RH","Default","PFCdPFCm_10",0.224487822594529,0.262025044036377,0.028223285288426,0.0415304249062774,0.504227594027676,0.289716378661337,FALSE,FALSE
"Stroop",-0.0430532836872581,0.0208341702272369,-2.06647460482845,"RH_Default_PFCdPFCm_10","RH","Default","PFCdPFCm_10",0.224487822594529,0.262025044036377,0.129580552775652,-0.0809279371254432,0.407241068482455,0.173814173476247,FALSE,FALSE
"Axcpt",0.031019727335618,0.0192252345907512,1.61349018599444,"RH_Default_PFCdPFCm_11","RH","Default","PFCdPFCm_11",0.250347268898149,0.246818934180598,0.139433218613278,-0.0879926864628476,0.40128845961896,0.166905176518221,FALSE,FALSE
"Cuedts",-0.0073953987304465,0.0192252345907512,-0.384671442917229,"RH_Default_PFCdPFCm_11","RH","Default","PFCdPFCm_11",0.250347268898149,0.246818934180598,0.79336745828643,-0.366064212795384,0.128814256845255,-0.12648728066831,FALSE,FALSE
"Stern",0.00832253877565027,0.0192252345907512,0.432896604531112,"RH_Default_PFCdPFCm_11","RH","Default","PFCdPFCm_11",0.250347268898149,0.246818934180598,0.00674368884257163,0.130735773703587,0.568221894405725,0.369799351816938,FALSE,FALSE
"Stroop",0.000801358362954507,0.0192252345907512,0.0416826311882832,"RH_Default_PFCdPFCm_11","RH","Default","PFCdPFCm_11",0.250347268898149,0.246818934180598,0.245530335505309,-0.148601449139207,0.348464180452684,0.106585902688006,FALSE,FALSE
"Axcpt",0.0550274929668942,0.0202906662648916,2.71196087149227,"RH_Default_PFCdPFCm_12","RH","Default","PFCdPFCm_12",0.06698929067527,0.143996053374044,0.20591885703363,-0.128430676959575,0.366401931519896,0.126871054059856,FALSE,FALSE
"Cuedts",0.00490881794380282,0.0202906662648916,0.241924926452338,"RH_Default_PFCdPFCm_12","RH","Default","PFCdPFCm_12",0.06698929067527,0.143996053374044,0.908214244949065,-0.433220985778693,0.0495090179253983,-0.204239633671839,FALSE,FALSE
"Stern",0.0166434349817045,0.0202906662648916,0.82025078745207,"RH_Default_PFCdPFCm_12","RH","Default","PFCdPFCm_12",0.06698929067527,0.143996053374044,0.0701060937338647,-0.0267442434123945,0.451556705640931,0.225982498834726,FALSE,FALSE
"Stroop",-0.0151545764242424,0.0202906662648916,-0.746874263585125,"RH_Default_PFCdPFCm_12","RH","Default","PFCdPFCm_12",0.06698929067527,0.143996053374044,0.160624550062783,-0.102076772118051,0.389296886299462,0.153056492794336,FALSE,FALSE
"Axcpt",0.0365316611359916,0.0173860200942665,2.10120895627165,"RH_Default_PFCdPFCm_13","RH","Default","PFCdPFCm_13",0.0663643245767329,0.0801903812795689,0.112709204086472,-0.0678752590519333,0.418130953466585,0.186513458152967,FALSE,FALSE
"Cuedts",-0.00113435729187892,0.0173860200942665,-0.0652453687346771,"RH_Default_PFCdPFCm_13","RH","Default","PFCdPFCm_13",0.0663643245767329,0.0801903812795689,0.993644607843921,-0.570521455143692,-0.134078766346891,-0.372732981616653,FALSE,FALSE
"Stern",0.00807401251895403,0.0173860200942665,0.464396824297739,"RH_Default_PFCdPFCm_13","RH","Default","PFCdPFCm_13",0.0663643245767329,0.0801903812795689,0.358879230217197,-0.197933454028295,0.30300380840921,0.0560626294576227,FALSE,FALSE
"Stroop",-0.00652515252616816,0.0173860200942665,-0.375310306256922,"RH_Default_PFCdPFCm_13","RH","Default","PFCdPFCm_13",0.0663643245767329,0.0801903812795689,0.0574899458296007,-0.0108223448947974,0.464145210725456,0.241041471764661,FALSE,FALSE
"Axcpt",0.00341428682106082,0.0300424054964865,0.113648916078313,"RH_Default_PFCdPFCm_2","RH","Default","PFCdPFCm_2",-0.0211073455921023,-0.0916962165922956,0.807793777142204,-0.373014018694694,0.120890743876118,-0.134399305096213,FALSE,FALSE
