session,task,run,subj,name,trial.type,iti,cue,probe,target.color,location,cue.cresp,target.cresp,cue.rt,cue.acc,cue.resp,target.rt,target.acc,resp,trialacc,time.cue.onset.abs,time.target.onset.abs,time.target.rt.abs,time.cue.rt.abs,time.scan.start,trial.num,acc,time.cue.onset,time.cue.rt,time.target.onset,time.target.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off
bas,axc,1,130518,bas_axc_run1_130518,Ang,4000,A,3,white,center,1,,349,1,1,0,1,,1,664461,669260,0,664810,145441,52,1,519.02,519.369,523.819,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,1600,A,X,white,center,1,2,337,1,1,397,1,2,1,674059,678859,679256,674396,145441,53,1,528.618,528.955,533.418,533.815,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,4000,M,F,white,center,1,1,263,1,1,393,1,1,1,681258,686057,686450,681521,145441,54,1,535.817,536.08,540.616,541.009,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,Bng,1600,F,9,white,center,1,,576,1,1,0,1,,1,690857,695656,0,691433,145441,55,1,545.416,545.992,550.215,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,Ang,2800,A,9,white,center,1,,287,1,1,0,1,,1,698056,702855,0,698343,145441,56,1,552.615,552.902,557.414,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,1600,A,X,white,center,1,2,446,1,1,417,1,2,1,706471,711270,711687,706917,145441,57,1,561.03,561.476,565.829,566.246,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,4000,A,X,white,center,1,2,398,1,1,424,1,2,1,713670,718469,718893,714068,145441,58,1,568.229,568.627,573.028,573.452,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,2800,A,X,white,center,1,2,323,1,1,304,1,2,1,723268,728067,728371,723591,145441,59,1,577.827,578.15,582.626,582.93,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BX,2800,P,X,white,center,1,1,491,1,1,383,1,1,1,731667,736466,736849,732158,145441,60,1,586.226,586.717,591.025,591.408,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,2800,C,D,white,center,1,1,327,1,1,581,1,1,1,740066,744865,745446,740393,145441,61,1,594.625,594.952,599.424,600.005,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,4000,A,X,white,center,1,2,455,1,1,346,1,2,1,748464,753263,753609,748919,145441,62,1,603.023,603.478,607.822,608.168,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,1600,A,X,white,center,1,2,334,1,1,274,1,2,1,758063,762862,763136,758397,145441,63,1,612.622,612.956,617.421,617.695,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AY,2800,A,T,white,center,1,1,339,1,1,465,1,1,1,765262,770061,770526,765601,145441,64,1,619.821,620.16,624.62,625.085,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,1600,H,U,white,center,1,1,337,1,1,442,1,1,1,773660,778459,778901,773997,145441,65,1,628.219,628.556,633.018,633.46,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,4000,N,P,white,center,1,1,389,1,1,285,1,1,1,780859,785658,785943,781248,145441,66,1,635.418,635.807,640.217,640.502,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,2800,H,T,white,center,1,1,329,1,1,292,1,1,1,790457,795257,795549,790786,145441,67,1,645.016,645.345,649.816,650.108,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,1600,A,X,white,center,1,2,413,1,1,315,1,2,1,798856,803655,803970,799269,145441,68,1,653.415,653.828,658.214,658.529,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AY,4000,A,D,white,center,1,1,0,0,,497,1,1,0,806055,810871,811368,0,145441,69,0,660.614,-145.441,665.43,665.927,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BX,1600,U,X,white,center,1,1,321,1,1,347,0,2,0,815670,820469,820816,815991,145441,70,0,670.229,670.55,675.028,675.375,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,2800,D,N,white,center,1,1,392,1,1,336,1,1,1,822869,827668,828004,823261,145441,71,1,677.428,677.82,682.227,682.563,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,4000,A,X,white,center,1,2,311,1,1,468,1,2,1,831268,836067,836535,831579,145441,72,1,685.827,686.138,690.626,691.094,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,2,130518,bas_axc_run2_130518,BX,2800,T,X,white,center,1,1,458,1,1,446,1,1,1,59642,64441,64887,60100,29041,1,1,30.601,31.059,35.4,35.846,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,Ang,2800,A,6,white,center,1,,322,1,1,0,1,,1,68041,72857,0,68363,29041,2,1,39,39.322,43.816,-29.041,28.402,260.015,491.611,231.619,463.215,694.812
