wave,task,session,subj,r,neg_rmse
wave1,Axcpt,proactive,130518,0.888666185538672,-0.119372254860767
wave1,Axcpt,proactive,155938,0.711591566127272,-0.155442150287723
wave1,Axcpt,proactive,178647,0.910213082004889,-0.148772967522591
wave1,Axcpt,proactive,203418,0.778159114370758,-0.100315226656183
wave1,Axcpt,proactive,393550,0.93442956847803,-0.0820820328407228
wave1,Axcpt,proactive,448347,0.799219665451005,-0.124721708390259
wave1,Axcpt,proactive,672756,0.898869049292637,-0.110923581774085
wave1,Axcpt,proactive,849971,0.832779286995623,-0.126126376430613
wave1,Axcpt,proactive,877168,0.917053468907894,-0.110065190174574
wave1,Axcpt,proactive,DMCC1596165,0.859141212033368,-0.129477875392734
wave1,Axcpt,proactive,DMCC2609759,0.789713634286879,-0.10712253988093
wave1,Axcpt,proactive,DMCC3091953,0.876570926426848,-0.0980855701460074
wave1,Axcpt,proactive,DMCC6484785,0.908117259863699,-0.101427526975689
wave1,Axcpt,proactive,DMCC6627478,0.910556974951947,-0.111597534141472
wave1,Axcpt,proactive,DMCC6705371,0.936923944838522,-0.166202953989977
wave1,Axcpt,proactive,DMCC6721369,0.878967193147556,-0.116754682559549
wave2,Axcpt,proactive,130518,0.852147506584344,-0.141397061072499
wave2,Axcpt,proactive,155938,0.914247611045563,-0.11745650840763
wave2,Axcpt,proactive,178647,0.946139153247157,-0.114284616582205
wave2,Axcpt,proactive,203418,0.866093058321158,-0.0917862328845679
wave2,Axcpt,proactive,393550,0.87088676834836,-0.114316815663088
wave2,Axcpt,proactive,448347,0.89719986277602,-0.0890137450575986
wave2,Axcpt,proactive,672756,0.865118621150259,-0.116414630707383
wave2,Axcpt,proactive,849971,0.925065676155276,-0.101454750710162
wave2,Axcpt,proactive,877168,0.941470071395351,-0.118724822794843
wave2,Axcpt,proactive,DMCC1596165,0.87068232455956,-0.17114758661656
wave2,Axcpt,proactive,DMCC2609759,0.802467590240562,-0.231633175324722
wave2,Axcpt,proactive,DMCC3091953,0.823524479067721,-0.0931661226430217
wave2,Axcpt,proactive,DMCC6484785,0.885860432348748,-0.107496792481801
wave2,Axcpt,proactive,DMCC6627478,0.915391506684471,-0.131966172155413
wave2,Axcpt,proactive,DMCC6705371,0.897708464648049,-0.119966679789713
wave2,Axcpt,proactive,DMCC6721369,0.873227475887167,-0.117347879838663
wave1,Cuedts,proactive,130518,0.896021772596093,-0.116996002382521
wave1,Cuedts,proactive,155938,0.773396766917403,-0.175832877339592
wave1,Cuedts,proactive,178647,,
wave1,Cuedts,proactive,203418,0.786570150570411,-0.119557453608321
wave1,Cuedts,proactive,393550,0.86596228856248,-0.105700786690833
wave1,Cuedts,proactive,448347,0.801828515694006,-0.125756251415364
wave1,Cuedts,proactive,672756,0.841924565164259,-0.112404002129966
wave1,Cuedts,proactive,849971,0.783480517949288,-0.139878903605493
wave1,Cuedts,proactive,877168,0.858101849993085,-0.130813238152447
wave1,Cuedts,proactive,DMCC1596165,0.916863393496613,-0.130664872949277
wave1,Cuedts,proactive,DMCC2609759,0.87120493591607,-0.10298052900512
wave1,Cuedts,proactive,DMCC3091953,0.669434576435817,-0.118784071451843
wave1,Cuedts,proactive,DMCC6484785,0.853276779230146,-0.113925813294939
wave1,Cuedts,proactive,DMCC6627478,0.720197339765738,-0.168145746778108
wave1,Cuedts,proactive,DMCC6705371,0.857492423891938,-0.139235263750862
wave1,Cuedts,proactive,DMCC6721369,0.875968837316563,-0.11754518031094
wave2,Cuedts,proactive,130518,0.843037435574801,-0.124679250427612
wave2,Cuedts,proactive,155938,0.884057961540023,-0.131389044845055
wave2,Cuedts,proactive,178647,0.784465869775812,-0.149874686115603
wave2,Cuedts,proactive,203418,0.836363505323479,-0.103020201846662
wave2,Cuedts,proactive,393550,0.812871961675159,-0.0936774584360592
wave2,Cuedts,proactive,448347,0.892459643107585,-0.137140159691731
wave2,Cuedts,proactive,672756,0.891790384504508,-0.109084482484845
wave2,Cuedts,proactive,849971,0.901301223454844,-0.101364839145192
wave2,Cuedts,proactive,877168,0.709528857369233,-0.149403708696983
wave2,Cuedts,proactive,DMCC1596165,0.862942806027581,-0.157924292859815
wave2,Cuedts,proactive,DMCC2609759,0.832734681610257,-0.157370608707702
wave2,Cuedts,proactive,DMCC3091953,0.739746447350109,-0.117202398775189
wave2,Cuedts,proactive,DMCC6484785,0.777037648211771,-0.113944946927833
wave2,Cuedts,proactive,DMCC6627478,0.812173420484904,-0.164717172424359
